loss,mse,val_loss,val_mse
1.9574967154767364e-05,3.915283741662279e-05,0.0007200881955213845,0.0014407000271603465
5.406321292866778e-07,1.0791226259243558e-06,3.7611578136420576e-06,7.520589861087501e-06
6.082289871756075e-08,1.2055011211487e-07,2.9227855975477723e-06,5.845627583767055e-06
5.676749736949205e-08,1.1205928984736602e-07,2.9455582080117892e-06,5.890505235583987e-06
5.5598295745085125e-08,1.1070127214907188e-07,2.9025632102275267e-06,5.80332925892435e-06
5.8382298107062525e-08,1.1498008234411827e-07,2.8983615720790112e-06,5.797171070298646e-06
5.954741055802515e-08,1.1594699600436797e-07,2.82732980849687e-06,5.654324922943488e-06
6.197983992706213e-08,1.2085824607765971e-07,2.8335909973975504e-06,5.666183369612554e-06
6.252355433389312e-08,1.2150141515121504e-07,2.9144644031475764e-06,5.8291702771384735e-06
6.108454186914969e-08,1.1941773436774383e-07,2.908186843342264e-06,5.816199518449139e-06
6.615788805675038e-08,1.2906423307867954e-07,2.8869835659861565e-06,5.774072178610368e-06
7.126802614720873e-08,1.3756071837178752e-07,2.8875720090582035e-06,5.772714303020621e-06
7.204884866496286e-08,1.4068459108784737e-07,2.8535519049910363e-06,5.7032953009183984e-06
7.287464853789061e-08,1.4246876389734098e-07,3.0416024401347386e-06,6.082721938582836e-06
7.317308359233721e-08,1.4275593684942578e-07,3.1861347906669835e-06,6.373350970534375e-06
7.211017560848632e-08,1.4060812247862486e-07,3.412930027479888e-06,6.824901902291458e-06
7.213061081756678e-08,1.4098199585532711e-07,3.390484152987483e-06,6.779198884032667e-06
