loss,mse,val_loss,val_mse
1.9420335775066633e-06,3.881406883010641e-06,2.028290737143834e-06,4.054664259456331e-06
5.2669307137875876e-08,1.0167160269247688e-07,2.1363507585192565e-06,4.272837486496428e-06
5.836151828475522e-08,1.1175900738180644e-07,2.0335876342869597e-06,4.066135261382442e-06
6.540317798453543e-08,1.283381294570063e-07,2.0005320493510226e-06,3.9979067878448404e-06
6.784036088447465e-08,1.329660506144137e-07,2.1391954305727268e-06,4.277980224287603e-06
7.762997711324715e-08,1.5227939798023726e-07,2.046665940724779e-06,4.091757091373438e-06
7.938017176911671e-08,1.5780911155616195e-07,1.9849687760142842e-06,3.969099452660885e-06
7.707384241939508e-08,1.5202125780433562e-07,1.921996499731904e-06,3.843244485324249e-06
7.215858488507365e-08,1.4283851612617582e-07,1.8629475562192965e-06,3.7229594909149455e-06
6.800392782224662e-08,1.3285662703310663e-07,1.8004983530772734e-06,3.5990458400192438e-06
6.286785492193303e-08,1.2133072857523075e-07,1.7266382883462938e-06,3.4516949654062046e-06
5.50655983033721e-08,1.0795728400125881e-07,1.636593765397265e-06,3.2725424716772977e-06
5.189235352531796e-08,1.0170192865643912e-07,1.5486091342609143e-06,3.0968694773036987e-06
5.5850730262818615e-08,1.0638598979539893e-07,1.4841000393062131e-06,2.9693376291106688e-06
5.645593503800228e-08,1.0879186618240055e-07,1.4485923429674585e-06,2.893116061386536e-06
5.567898142544436e-08,1.070132640279553e-07,1.415275164617924e-06,2.8305807973083574e-06
5.417414428166012e-08,1.0436826869408833e-07,1.3844429531673086e-06,2.7726925964088878e-06
5.249755830050162e-08,1.0174203168844542e-07,1.3590382650363608e-06,2.718249561439734e-06
5.157339444394893e-08,9.925786770281775e-08,1.3336334632185753e-06,2.6665829864214174e-06
5.027301597237965e-08,9.693359714901817e-08,1.3086211083646049e-06,2.617868631205056e-06
4.941427889093575e-08,9.47389011685118e-08,1.2865840517406468e-06,2.5722122245497303e-06
4.862914693148923e-08,9.268472922485671e-08,1.2645797369259526e-06,2.529729272282566e-06
4.7263341684811166e-08,9.074911844209055e-08,1.2446025721146725e-06,2.4903647499741055e-06
4.5815752969247114e-08,8.891930747267907e-08,1.228744963555073e-06,2.4540445338061545e-06
4.579939627546992e-08,8.720085986624326e-08,1.2102718756068498e-06,2.4210557967307977e-06
4.401649178475964e-08,8.556759922839774e-08,1.1967357522735256e-06,2.391156385783688e-06
4.3133219662649935e-08,8.403571882809047e-08,1.1831996289402014e-06,2.364477722949232e-06
4.266704678457245e-08,8.259488737394349e-08,1.1703828022291418e-06,2.3412897007801803e-06
4.220905225338356e-08,8.121497074853323e-08,1.1607374972300022e-06,2.3211298412206816e-06
4.181648449730346e-08,7.992555595137674e-08,1.1531847121659666e-06,2.3041257009026594e-06
4.0524287925336466e-08,7.870159635103846e-08,1.1457627806521486e-06,2.2900112526258454e-06
4.0336182394185016e-08,7.754523068115304e-08,1.1404333690734347e-06,2.2791748506278964e-06
3.942019688452092e-08,7.645609656492525e-08,1.1381446256564232e-06,2.271100811412907e-06
3.923209135336947e-08,7.543071234294985e-08,1.1346135124767898e-06,2.2659762635157676e-06
3.9003094087775025e-08,7.446215732898054e-08,1.1328805840093992e-06,2.2635522327618673e-06
3.9076699209772414e-08,7.356271680691862e-08,1.1326517324050656e-06,2.264008571728482e-06
3.852874286280894e-08,7.271169266687139e-08,1.1349404758220771e-06,2.2668591554975137e-06
3.846331608770015e-08,7.191970752273846e-08,1.135561660703388e-06,2.2721580990037182e-06
3.796442982206827e-08,7.117213129959055e-08,1.1405314808143885e-06,2.2797423753218027e-06
3.784992941291421e-08,7.047389516401381e-08,1.1443568155300454e-06,2.2891083517606603e-06
3.7097510841022086e-08,6.98181708003176e-08,1.1495554872453795e-06,2.2997351152298506e-06
3.672948167832146e-08,6.919295714169493e-08,1.1559639006009093e-06,2.311092885065591e-06
3.691758720947291e-08,6.860422274712619e-08,1.1594623856581165e-06,2.3224306460178923e-06
3.605066822842673e-08,6.803018237633296e-08,1.1669170589811984e-06,2.3332465843850514e-06
3.5502711881463256e-08,6.74664875077724e-08,1.1711020988514065e-06,2.3423651782650268e-06
3.598524145331794e-08,6.691050202789484e-08,1.1754179922718322e-06,2.3487798443966312e-06
3.4554009431531085e-08,6.633847249304381e-08,1.1770200671890052e-06,2.352332103328081e-06
3.494657718761118e-08,6.576228628318859e-08,1.1782625506384647e-06,2.3525269625679357e-06
3.371162904386438e-08,6.516591355421042e-08,1.174960289063165e-06,2.3484915345761692e-06
3.2959210471972256e-08,6.45526228026938e-08,1.1705462839017855e-06,2.341190111110336e-06
3.28038183283752e-08,6.393228346723845e-08,1.1651515023913817e-06,2.3306738512474112e-06
