loss,mse,val_loss,val_mse
1.0032243153546005e-05,2.0061061150045134e-05,6.965340617171023e-06,1.3931363355368376e-05
1.5250381579789973e-07,3.02807251273407e-07,6.553045295731863e-06,1.3105471225571819e-05
1.3463387915635394e-07,2.684756168491731e-07,5.808068635815289e-06,1.1614803952397779e-05
1.2114757907966123e-07,2.4108933871502813e-07,5.164188223716337e-06,1.0329806173103862e-05
1.0825014840065705e-07,2.1538802741360996e-07,4.6482141442538705e-06,9.29423731577117e-06
9.815792623157904e-08,1.9341736390288133e-07,4.2753827074193396e-06,8.5508272604784e-06
8.875269230657068e-08,1.7517217543172592e-07,4.355749297246803e-06,8.710612746654078e-06
7.933928003467372e-08,1.5714178402959078e-07,4.452660050446866e-06,8.905200047593098e-06
7.06782827819552e-08,1.3942729992777458e-07,3.813095190707827e-06,7.626618753420189e-06
6.246710881896433e-08,1.2336525401224208e-07,3.088619223490241e-06,6.177226168802008e-06
5.491838450666364e-08,1.0851421450297494e-07,2.6288166736776475e-06,5.255387350189267e-06
5.190053187220656e-08,1.0209479484046824e-07,2.4033784029597882e-06,4.81044207845116e-06
4.614289395021842e-08,9.159838754158045e-08,2.303851942997426e-06,4.601130967785139e-06
4.309232792820694e-08,8.486974678589831e-08,2.301138238181011e-06,4.602704393619206e-06
4.108042261918854e-08,8.079472024746792e-08,2.1867351733817486e-06,4.372973762656329e-06
3.936294490358705e-08,7.768292675791599e-08,1.991311819438124e-06,3.982687758252723e-06
3.744918686265919e-08,7.567394533225524e-08,1.8496403981771437e-06,3.6992285004089354e-06
3.705661910657909e-08,7.346616825998353e-08,1.7662657683104044e-06,3.529542027536081e-06
3.5887101290654755e-08,7.141333924209903e-08,1.7095710518333362e-06,3.4189513371529756e-06
3.471757992201674e-08,6.948231856540588e-08,1.6731805771996733e-06,3.3467874800408026e-06
3.3719807390752976e-08,6.750396863708374e-08,1.649672185521922e-06,3.2984944482450373e-06
3.304917228774684e-08,6.550968834062587e-08,1.6319836504408158e-06,3.263578037149273e-06
3.210864818470327e-08,6.357227277931088e-08,1.6194284171433537e-06,3.2342754821002018e-06
3.065288112225062e-08,6.172243871560568e-08,1.6026881439756835e-06,3.2047323657025117e-06
3.0047676347066954e-08,5.995538998604388e-08,1.5856209074627259e-06,3.1694094104750548e-06
2.8829084897097346e-08,5.827293136917433e-08,1.5627664424755494e-06,3.1259476145351073e-06
2.8755479775099957e-08,5.6698521433418136e-08,1.535694195808901e-06,3.072605295528774e-06
2.8215699998668242e-08,5.530062452407947e-08,1.5059409861351014e-06,3.01378622680204e-06
2.7234284161181677e-08,5.414449688601053e-08,1.4774955161556136e-06,2.9566829198302003e-06
2.7291534365758707e-08,5.32488613202986e-08,1.4563084960173e-06,2.910689545387868e-06
2.689079003914685e-08,5.2523908777857287e-08,1.4432629313887446e-06,2.884295327021391e-06
2.6301940181383543e-08,5.186411300428517e-08,1.4412357813853305e-06,2.882203261833638e-06
2.593390924232608e-08,5.119709456380406e-08,1.4511099379888037e-06,2.9017671749898e-06
2.60647645689005e-08,5.0506550053341925e-08,1.4635016896136221e-06,2.9245791210996686e-06
2.6432795507957962e-08,4.9897810328047854e-08,1.4587607211069553e-06,2.9178913791838568e-06
2.6097477956454895e-08,4.9562146386961103e-08,1.430021029591444e-06,2.859785126929637e-06
2.638372365026953e-08,4.9580592076381436e-08,1.3808137282467214e-06,2.760303459581337e-06
2.696439516114424e-08,4.974665657186961e-08,1.321666786679998e-06,2.6419759251439245e-06
2.60647645689005e-08,4.97505290297795e-08,1.2615389550774125e-06,2.5240656214009505e-06
2.5026100303193743e-08,4.938053876912818e-08,1.2082773537258618e-06,2.4178114017558983e-06
2.5197847364211157e-08,4.849112045235415e-08,1.1703174322974519e-06,2.3365826109511545e-06
2.4437250445430436e-08,4.7067306496728634e-08,1.1504382655402878e-06,2.301045014974079e-06
2.346401295483247e-08,4.557482569111926e-08,1.1556043091331958e-06,2.3108827917894814e-06
2.3856578934555728e-08,4.482640036940211e-08,1.150732600763149e-06,2.3036118363961577e-06
2.294059164853479e-08,4.4474010252315566e-08,1.1238565775784082e-06,2.2467370399681386e-06
2.213092287206564e-08,4.3642334190963084e-08,1.0974055157930707e-06,2.194381522713229e-06
2.289969813773496e-08,4.3280657280320156e-08,1.0637941159075126e-06,2.1265079794829944e-06
2.2809736321960372e-08,4.35209663862679e-08,9.97813799585856e-07,1.995289039768977e-06
2.2090031137622645e-08,4.262871655669187e-08,9.484756446909159e-07,1.9004028217750601e-06
2.0961403279784463e-08,4.092556693535698e-08,9.556360964779742e-07,1.910281980599393e-06
2.0953224932895864e-08,4.0323595129621026e-08,1.0038298796644085e-06,2.0073784980922937e-06
2.098593832045026e-08,4.0546179747025235e-08,1.0586935559331323e-06,2.1167518298170762e-06
2.1403039340839314e-08,4.10906686454382e-08,1.0790304258989636e-06,2.1567825569945853e-06
2.2368098484548682e-08,4.2584893833463866e-08,1.1179058674315456e-06,2.2373512820195174e-06
